kappa_condition,seed,kappa_exact
0.5,0,0.2742618110620677
0.5,1,0.15788101821563863
0.5,2,0.2657587937463779
0.5,3,0.30036039518672625
0.5,4,0.20239913418158545
1.0,0,0.4682093097006372
1.0,1,0.4410179287808552
1.0,2,0.4861932144768194
1.0,3,0.45082000946215395
1.0,4,0.47566014288582503
2.0,0,1.3015770908217323
2.0,1,1.2847463569690294
2.0,2,1.2389493213783722
2.0,3,1.3293495847280274
2.0,4,1.2910301846322638
4.0,0,3.4089471391621586
4.0,1,3.3063311548962457
4.0,2,3.35559992966819
4.0,3,3.4113617390786106
4.0,4,3.4006651721929155
8.0,0,7.057882783025978
8.0,1,6.9635835113448525
8.0,2,7.159545326486488
8.0,3,7.012379115243933
8.0,4,6.869143952936024
16.0,0,13.987674708381697
16.0,1,13.800452491141012
16.0,2,13.91456664604279
16.0,3,14.17027429693561
16.0,4,13.981199278150994
32.0,0,28.46144111959727
32.0,1,28.91691633207931
32.0,2,28.334508342534658
32.0,3,29.33598263258389
32.0,4,28.440035163622934
