f,seed,converted_fraction,mean_free_belief,prop3_reference
0.05,0,0.0,0.15041610730512636,0.08135715810327049
0.05,1,0.0,0.15041610730512636,0.08135715810327049
0.05,2,0.0,0.15041610730512636,0.08135715810327049
0.05,3,0.0,0.15041610730512636,0.08135715810327049
0.05,4,0.0,0.15041610730512636,0.08135715810327049
0.1,0,0.0,0.19281800963142814,0.15648111625970584
0.1,1,0.0,0.19281800963142814,0.15648111625970584
0.1,2,0.0,0.19281800963142814,0.15648111625970584
0.1,3,0.0,0.19281800963142814,0.15648111625970584
0.1,4,0.0,0.19281800963142814,0.15648111625970584
0.15,0,0.0,0.2351210100806899,0.2258204500943467
0.15,1,0.0,0.23512101008068992,0.2258204500943467
0.15,2,0.0,0.23512101008068992,0.2258204500943467
0.15,3,0.0,0.2351210100806899,0.2258204500943467
0.15,4,0.0,0.23512101008068986,0.2258204500943467
0.2,0,0.0,0.35917128052050784,0.28979349944531385
0.2,1,0.0,0.3591712805205079,0.28979349944531385
0.2,2,0.0,0.35917128052050784,0.28979349944531385
0.2,3,0.0,0.35917128052050784,0.28979349944531385
0.2,4,0.0,0.35917128052050784,0.28979349944531385
0.25,0,0.0,0.39875660916025246,0.3487902710008862
0.25,1,0.0,0.39875660916025246,0.3487902710008862
0.25,2,0.0,0.39875660916025246,0.3487902710008862
0.25,3,0.0,0.39875660916025246,0.3487902710008862
0.25,4,0.0,0.39875660916025246,0.3487902710008862
0.3,0,1.0,0.5673117444348442,0.40317422957577365
0.3,1,1.0,0.5673117444348442,0.40317422957577365
0.3,2,1.0,0.5673117444348442,0.40317422957577365
0.3,3,1.0,0.567311744434844,0.40317422957577365
0.3,4,1.0,0.5673117444348441,0.40317422957577365
0.4,0,1.0,0.7787838054083429,0.4994348737993709
0.4,1,1.0,0.7787838054083429,0.4994348737993709
0.4,2,1.0,0.7787838054083429,0.4994348737993709
0.4,3,1.0,0.7787838054083429,0.4994348737993709
0.4,4,1.0,0.7787838054083429,0.4994348737993709
