bin,bin_low,bin_high,count,latent_mean,appraised_mean
0,0.0,0.1,14,0.08694522602785883,0.0807272355766825
1,0.1,0.2,84,0.14614520966426922,0.10557038410993888
2,0.2,0.30000000000000004,87,0.2444867237065792,0.1659584343138956
3,0.30000000000000004,0.4,166,0.35523266651626634,0.22478314085996112
4,0.4,0.5,3394,0.48925613041763205,0.4897839158094097
5,0.5,0.6000000000000001,9847,0.5125760571814078,0.5063104117996088
6,0.6000000000000001,0.7000000000000001,214,0.6401611127424527,0.8392958467098566
7,0.7000000000000001,0.8,89,0.7485679964643401,0.8778662735483556
8,0.8,0.9,98,0.8524268953335381,0.919272764423317
9,0.9,1.0,7,0.9043540646737818,0.9192727644233172
