0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.09951280575189617,0.14024030006120985,0.18642554270110318,0.22007651815177093,0.2678345461628737,0.3135203644108803,0.3558571145320154,0.38696171454900186,0.4406373090442891,0.47716879220178327,0.5284532363452547,0.5566365970020847,0.6051102865510172,0.6503048759829584,0.6948946901002462,0.7322855950231878,0.7794265353675618,0.8214311746750191,0.8520443412159109,0.8941906039777331
0.41625355938887176,0.4063223646869563,0.5039854920501388,0.38183071166195975,0.31887847206153164,0.3217544313064627,0.4661809681055889,0.4567607924706912,0.46379011365896294,0.4968058107513019,0.4193272886515588,0.3902228766582613,0.43702235121484456,0.4667641217146718,0.41856895893852836,0.351682587883719,0.3816301317273994,0.42645296555205014,0.4090063632741169,0.3531706946358786
0.3523639168485128,0.3597984816536773,0.3336948278694231,0.3554950787943619,0.39733644889288205,0.3514870152701665,0.36750373961177635,0.35333357974770446,0.37369781935674834,0.3754457092085587,0.3506464918120772,0.3495735192581696,0.34884677225290933,0.3592569004081555,0.35451954730325824,0.38787280522054546,0.38972781741378604,0.3588660393789222,0.40069166221726926,0.37747941337315327
0.2854680854895063,0.2832577427551029,0.28035796410281727,0.2996042168542282,0.2627930517819941,0.3146544305376532,0.2938985719782667,0.3158464836944924,0.3049013515418183,0.29193457493734964,0.3254979978275966,0.3026994275195883,0.3000653201472729,0.2955677073108386,0.2992569699711892,0.297780069358662,0.299435153307963,0.3102330034892852,0.3174984166871131,0.2981835839501455
0.2392088630247033,0.24017008126329067,0.2547078268234365,0.2307551316820316,0.23411772010878126,0.24721981801051132,0.21740979505646213,0.26277698128641525,0.23597450474728693,0.26019947804527055,0.2232456036620191,0.2628280519152077,0.27271064893829894,0.2985172708622038,0.2712700477141291,0.24374669090957451,0.2556863559026705,0.2409995516226054,0.2564955386120773,0.28457387227815756
0.15092233691029974,0.11094276977566168,0.13666629666705676,0.1695934148218438,0.15127302840507148,0.1321453544701979,0.15019828042823152,0.1547948966807886,0.09009364095963383,0.15451999997660867,0.1363831021273892,0.14713264442495422,0.12106057720162,0.18371445150954435,0.12285615902037432,0.1729651575869107,0.12706977237623193,0.17829477915057929,0.16010366760552827,0.1937060233341695
0.009565684814698576,0.013451277519654085,0.02961934197798959,0.0211102000283195,0.011315655338985302,0.012960990495281297,0.016085123486361555,0.025017293628386485,0.04131497088416958,0.04042299160005397,0.038652951080586403,0.023528888706423397,0.039524065273900136,0.036772569632881426,0.04407062279452999,0.04091391603062019,0.03661523264870039,0.0546961438118311,0.04737907987231968,0.04046015523988915
0.00300753242569475,0.00419684709050314,0.005558944758856863,0.006528253540917165,0.007906513768365011,0.009237527369517745,0.010472792154515093,0.011387900372010078,0.012968062687987173,0.014029856841880933,0.015519858187647197,0.01632255730337463,0.017751035714140297,0.019062746087656665,0.020368317100472287,0.02145253288378109,0.02281910484646358,0.02406175660193494,0.0249440452073435,0.026162320165014897
0.014702947795899849,0.009062241589760236,0.01200082627669477,0.019081892369335617,0.017133348615093764,0.011313363998567274,0.021593058363197054,0.014828008722092728,0.013146782101199472,0.021089944394349868,0.033630273295446114,0.016314342881741186,0.023832295595544208,0.026408285840349564,0.02638140537008841,0.023144680479940692,0.030346426427931904,0.04494940747609133,0.02689799041335985,0.02828247440605438
0.003013388337920991,0.00419184407445017,0.005538861597476773,0.006525941494276319,0.007913145295952512,0.009235649257343678,0.010479070591749986,0.011376285712944006,0.012935954064837283,0.014007819304009763,0.015514132889884926,0.016314333518208067,0.01773314883035664,0.01905093194919441,0.02034815334693904,0.02143227791842445,0.022811959099958787,0.02405064639934588,0.024920699028141008,0.026148438954272317
0.003000063531618522,0.004186292359371358,0.005531495671669773,0.00651162909747857,0.00790263528283024,0.009233280892087645,0.010466401873580162,0.01137235113006498,0.01293571374416842,0.013999746463850318,0.015493482491320279,0.016314333507534674,0.01772619647688698,0.019042545378609714,0.02034127610619516,0.02143032596869306,0.022803370639623864,0.024026824120644087,0.024918445134415906,0.026146006389628645
0.0030000483428114814,0.004186286031029529,0.005531487275328152,0.006511612782927475,0.007902623302576442,0.009233278192412913,0.010466387432641108,0.011372346645075197,0.012935713470229409,0.01399973726170443,0.015493458952147399,0.01631433350752251,0.017726188551972128,0.019042535818845806,0.020341268266900515,0.02143032374368602,0.02280336084972795,0.024026796965878283,0.02491844256522607,0.026146003616773706
0.0030000483254979202,0.004186286023815919,0.0055314872657572485,0.006511612764330687,0.007902623288920278,0.009233278189335583,0.010466387416180032,0.011372346639962805,0.012935713469917148,0.013999737251215002,0.015493458925315345,0.016314333507522497,0.017726188542938604,0.019042535807948735,0.020341268257964586,0.02143032374114976,0.02280336083856855,0.024026796934924856,0.024918442562297482,0.026146003613612957
0.0030000483254781847,0.004186286023807696,0.005531487265746341,0.006511612764309491,0.007902623288904712,0.009233278189332079,0.01046638741616127,0.011372346639956978,0.012935713469916796,0.013999737251203048,0.015493458925284762,0.016314333507522497,0.017726188542928307,0.019042535807936318,0.020341268257954404,0.021430323741146874,0.022803360838555834,0.02402679693488957,0.024918442562294148,0.02614600361360936
0.0030000483254781626,0.004186286023807688,0.005531487265746329,0.006511612764309467,0.007902623288904693,0.009233278189332074,0.010466387416161248,0.011372346639956973,0.012935713469916796,0.013999737251203037,0.015493458925284725,0.016314333507522497,0.017726188542928296,0.019042535807936307,0.020341268257954397,0.02143032374114687,0.022803360838555824,0.024026796934889533,0.024918442562294148,0.02614600361360936
0.0030000483254781626,0.004186286023807688,0.005531487265746329,0.006511612764309467,0.007902623288904693,0.009233278189332074,0.010466387416161248,0.011372346639956973,0.012935713469916796,0.013999737251203037,0.015493458925284725,0.016314333507522497,0.017726188542928296,0.019042535807936307,0.020341268257954397,0.02143032374114687,0.022803360838555824,0.024026796934889533,0.024918442562294148,0.02614600361360936
0.0030000483254781626,0.004186286023807688,0.005531487265746329,0.006511612764309467,0.007902623288904693,0.009233278189332074,0.010466387416161248,0.011372346639956973,0.012935713469916796,0.013999737251203037,0.015493458925284725,0.016314333507522497,0.017726188542928296,0.019042535807936307,0.020341268257954397,0.02143032374114687,0.022803360838555824,0.024026796934889533,0.024918442562294148,0.02614600361360936
0.0030000483254781626,0.004186286023807688,0.005531487265746329,0.006511612764309467,0.007902623288904693,0.009233278189332074,0.010466387416161248,0.011372346639956973,0.012935713469916796,0.013999737251203037,0.015493458925284725,0.016314333507522497,0.017726188542928296,0.019042535807936307,0.020341268257954397,0.02143032374114687,0.022803360838555824,0.024026796934889533,0.024918442562294148,0.02614600361360936
0.0030000483254781626,0.004186286023807688,0.005531487265746329,0.006511612764309467,0.007902623288904693,0.009233278189332074,0.010466387416161248,0.011372346639956973,0.012935713469916796,0.013999737251203037,0.015493458925284725,0.016314333507522497,0.017726188542928296,0.019042535807936307,0.020341268257954397,0.02143032374114687,0.022803360838555824,0.024026796934889533,0.024918442562294148,0.02614600361360936
0.0030000483254781626,0.004186286023807688,0.005531487265746329,0.006511612764309467,0.007902623288904693,0.009233278189332074,0.010466387416161248,0.011372346639956973,0.012935713469916796,0.013999737251203037,0.015493458925284725,0.016314333507522497,0.017726188542928296,0.019042535807936307,0.020341268257954397,0.02143032374114687,0.022803360838555824,0.024026796934889533,0.024918442562294148,0.02614600361360936
