f,seed,converted_fraction,mean_free_belief,prop3_reference
0.05,0,0.0,0.08350153339884347,0.08135715810327049
0.05,1,0.0,0.09006980215010323,0.08135715810327049
0.05,2,0.0,0.07429844285417464,0.08135715810327049
0.05,3,0.0,0.07461713111899257,0.08135715810327049
0.05,4,0.0,0.08190715366340162,0.08135715810327049
0.1,0,0.0,0.09902213061048229,0.15648111625970584
0.1,1,0.0,0.0998266870299413,0.15648111625970584
0.1,2,0.0,0.10002838523976305,0.15648111625970584
0.1,3,0.0,0.10296131375957707,0.15648111625970584
0.1,4,0.0,0.10975072860564723,0.15648111625970584
0.15,0,0.0,0.12285135500383966,0.2258204500943467
0.15,1,0.0,0.11033241497662309,0.2258204500943467
0.15,2,0.0,0.10000393263499763,0.2258204500943467
0.15,3,0.0,0.11095420429733473,0.2258204500943467
0.15,4,0.0,0.1154956323339221,0.2258204500943467
0.2,0,0.0,0.12708106463263133,0.28979349944531385
0.2,1,0.0,0.14551751107154606,0.28979349944531385
0.2,2,0.0,0.12162451515934754,0.28979349944531385
0.2,3,0.0,0.1396973807126508,0.28979349944531385
0.2,4,0.0,0.1390114305187587,0.28979349944531385
0.25,0,0.0,0.15521621263695343,0.3487902710008862
0.25,1,0.0,0.1609342997166424,0.3487902710008862
0.25,2,0.0,0.15725528392606217,0.3487902710008862
0.25,3,0.0,0.1353379525422054,0.3487902710008862
0.25,4,0.0,0.13203205006651111,0.3487902710008862
0.3,0,0.0,0.19565847342664403,0.40317422957577365
0.3,1,0.0,0.17024424942578792,0.40317422957577365
0.3,2,0.0,0.16377725525519632,0.40317422957577365
0.3,3,0.0,0.15614317117570736,0.40317422957577365
0.3,4,0.0,0.18335219534510236,0.40317422957577365
0.4,0,0.0,0.21232069612442073,0.4994348737993709
0.4,1,0.0,0.19956085141830038,0.4994348737993709
0.4,2,0.0,0.17444331917634592,0.4994348737993709
0.4,3,0.0,0.23740583437630028,0.4994348737993709
0.4,4,0.0,0.2204005686482333,0.4994348737993709
