kappa_condition,seed,kappa_exact
0.5,0,-0.2685161840512178
0.5,1,-0.041734462810343
0.5,2,0.021969574156891283
0.5,3,-0.07610532625054792
0.5,4,0.05363871023824367
1.0,0,0.22017731889635703
1.0,1,0.294038599711175
1.0,2,0.31176207701177133
1.0,3,0.30284239856639383
1.0,4,0.3749970401223138
2.0,0,0.9548240560005463
2.0,1,1.099797426082872
2.0,2,1.0039672512325102
2.0,3,1.1104715948435606
2.0,4,0.9380198259778302
4.0,0,2.3987423287838583
4.0,1,2.496190472709961
4.0,2,2.5045983024692933
4.0,3,2.4547066170173406
4.0,4,2.4730816915869918
8.0,0,5.660360098032756
8.0,1,5.643242113828426
8.0,2,5.646355862903481
8.0,3,5.610888005659159
8.0,4,5.672262302623135
16.0,0,12.093810982928458
16.0,1,11.966258058476457
16.0,2,12.188134306481821
16.0,3,12.305503990353529
16.0,4,12.139959819656752
32.0,0,24.981103216667474
32.0,1,25.52531715429852
32.0,2,25.15558100014467
32.0,3,25.783754506718772
32.0,4,25.229685829346376
